#key, created, size, mimetype
SentiLex-PT02.zip,2017-10-22T16:50:22.413666+00:00,604242,application/zip
100LOS_cluster_random.zip,2017-10-13T14:02:02.354453+00:00,1329092,application/zip
50LOS_cluster_central.zip,2017-10-13T14:02:02.366603+00:00,1258126,application/zip
100LOS_cluster_random.zip,2017-10-13T13:29:03.207752+00:00,1447995,application/zip
50LOS_cluster_central.zip,2017-10-13T13:29:03.221556+00:00,1285703,application/zip
DYN6_subs300_z0.h5,2017-10-11T13:22:50.807509+00:00,648004192,application/octet-stream
DYN6_subs300_z0.h5_projx.fits,2017-10-11T13:22:50.820003+00:00,1802880,application/octet-stream
DYN6_subs300_z0.h5_projz.fits,2017-10-11T13:22:50.833228+00:00,1802880,application/octet-stream
CSF3_subs300_z0.h5,2017-10-11T13:15:23.878979+00:00,648004192,application/octet-stream
CSF3_subs300_z0.h5_projx.fits,2017-10-11T13:15:23.891537+00:00,1802880,application/octet-stream
CSF3_subs300_z0.h5_projz.fits,2017-10-11T13:15:23.903447+00:00,1802880,application/octet-stream
CSFBH2_subs300_z0.h5,2017-10-11T13:15:23.916230+00:00,648004192,application/octet-stream
CSFBH2_subs300_z0.h5_projx.fits,2017-10-11T13:15:23.928173+00:00,1802880,application/octet-stream
CSFBH2_subs300_z0.h5_projz.fits,2017-10-11T13:15:23.940493+00:00,1802880,application/octet-stream
CSFBH5_subs300_z0.h5,2017-10-11T13:15:23.952433+00:00,648004192,application/octet-stream
CSFBH5_subs300_z0.h5_projx.fits,2017-10-11T13:15:23.964383+00:00,1802880,application/octet-stream
CSFBH5_subs300_z0.h5_projz.fits,2017-10-11T13:15:23.976447+00:00,1802880,application/octet-stream
P_subs300_z0.h5,2017-10-11T09:28:12.829161+00:00,648004192,application/octet-stream
P_subs300_z0.h5_projx.fits,2017-10-11T09:28:12.841579+00:00,1802880,application/octet-stream
P_subs300_z0.h5_projz.fits,2017-10-11T09:28:12.853788+00:00,1802880,application/octet-stream
Pz2_subs300_z0.h5,2017-10-11T09:28:12.866340+00:00,648004192,application/octet-stream
Pz2_subs300_z0.h5_projx.fits,2017-10-11T09:28:12.878348+00:00,1802880,application/octet-stream
Pz2_subs300_z0.h5_projz.fits,2017-10-11T09:28:12.890339+00:00,1802880,application/octet-stream
SFR_magnetic_CSF0model.dat,2017-10-10T19:27:54.416442+00:00,6107,application/octet-stream
SFR_magnetic_CSF1model.dat,2017-10-10T19:27:54.428710+00:00,6107,application/octet-stream
SFR_magnetic_CSF2model.dat,2017-10-10T19:27:54.440560+00:00,6107,application/octet-stream
SFR_magnetic_CSF3model.dat,2017-10-10T19:27:54.452437+00:00,6107,application/octet-stream
SFR_magnetic_CSFBH1model.dat,2017-10-10T19:27:54.464243+00:00,6107,application/octet-stream
SFR_magnetic_CSFBH3model.dat,2017-10-10T19:27:54.476423+00:00,4096,application/octet-stream
SFR_magnetic_CSFBH5model.dat,2017-10-10T19:27:54.488209+00:00,6107,application/octet-stream
EUDAT Services Terms of Use.pdf,2017-09-27T09:14:36.993670+00:00,176873,application/pdf
EUDAT2020-DEL-WP8-D8.2_Report_on_Technology_Watch.pdf,2017-08-26T10:07:07.936457+00:00,2385642,application/pdf
soil_moisture_LTER_EU_SP_001_Doñana_LTSER.xlsx,2017-08-21T08:52:40.577275+00:00,61270856,application/octet-stream
